OpenAlex URL,OpenAlex ID,OpenAlex Title,OpenAlex Primary Topic,DRUID
https://openalex.org/W4399283731,W4399283731,High-Resolution In Silico Painting with Generative Models,Computer Graphics and Computer-Aided Design,druid:dz831kh6575
https://openalex.org/W4399257085,W4399257085,News source bias and sentiment on social media,Communication,druid:fg753qx4259
https://openalex.org/W4206398787,W4206398787,Characterizing Dark State Kinetics and Single Molecule Fluorescence of FusionRed and FusionRed-MQ at Low Irradiances,Biophysics,druid:fq807pp0865
https://openalex.org/W3200057161,W3200057161,Acute Ketamine Modulated Functional Brain Coupling and Dissociative and Affective States in Human Subjects: Interim Analyses,Pharmacology,druid:fx124fw4363
https://openalex.org/W3126527592,W3126527592,Stochastic Comparative Statics in Markov Decision Processes,"General Economics, Econometrics and Finance",druid:fy534kx0887
https://openalex.org/W3163597423,W3163597423,Deep S<sup>3</sup>PR: Simultaneous Source Separation and Phase Retrieval Using Deep Generative Models,Acoustics and Ultrasonics,druid:fz893yn0206
https://openalex.org/W3174220540,W3174220540,The Values Encoded in Machine Learning Research,Safety Research,druid:gt857wj4134
https://openalex.org/W3093048371,W3093048371,Ipsilateral radiation for squamous cell carcinoma of the tonsil: American Radium Society appropriate use criteria executive summary,Otorhinolaryngology,druid:gx957zk5574
https://openalex.org/W4205859241,W4205859241,Perceptions of cigarette smoking and weight in hypothetical hiring decisions.,Pharmacy,druid:hg936dq0657
https://openalex.org/W4322154575,W4322154575,<i>Schistosoma mansoni</i>infection alters the host pre-vaccination environment resulting in blunted Hepatitis B vaccination immune responses,Parasitology,druid:hm162np0888
https://openalex.org/W4385511079,W4385511079,Hematic Antegrade Repriming: A Reproducible Method to Decrease the Cardiopulmonary Bypass Insult,Biochemistry,druid:hs257xj6041
https://openalex.org/W4393156923,W4393156923,Analyses of academician cohorts generate biased pandemic excess death estimates,"Health, Toxicology and Mutagenesis",druid:hy021zn7242
https://openalex.org/W3046678272,W3046678272,fault: A Python Embedded Domain-Specific Language for Metaprogramming Portable Hardware Verification Components,Computational Theory and Mathematics,druid:hy879nw0799
https://openalex.org/W3000588783,W3000588783,An International Multicenter Evaluation of Type 5 Long QT Syndrome,Cardiology and Cardiovascular Medicine,druid:jf164cr9577
https://openalex.org/W3091235616,W3091235616,Household economic impact of road traffic injury versus routine emergencies in a low-income country,"Safety, Risk, Reliability and Quality",druid:jf663zk9641
https://openalex.org/W4296103990,W4296103990,Selecting For Extremists: Evaluating the Impact of Judicial Selection Methods on Ideology,Law,druid:jg868kp6262
https://openalex.org/W3170856023,W3170856023,How Campaigns Respond to Ballot Position: A New Mechanism for Order Effects,Political Science and International Relations,druid:jq279pz2088
https://openalex.org/W3164284701,W3164284701,Electrochemical ion insertion from the atomic to the device scale,Polymers and Plastics,druid:jq688zd8574
https://openalex.org/W3183339884,W3183339884,The Stationary Prophet Inequality Problem,Computer Networks and Communications,druid:kd263dr6463
https://openalex.org/W4393028888,W4393028888,Self-reports map the landscape of task states derived from brain imaging,Cognitive Neuroscience,druid:kd320vy3294
https://openalex.org/W4315783734,W4315783734,Stereochemistry Determines Immune Cellular Responses to Polylactide Implants,Biomaterials,druid:kj091xn7702
https://openalex.org/W4394813096,W4394813096,Simultaneous single-cell three-dimensional genome and gene expression profiling uncovers dynamic enhancer connectivity underlying olfactory receptor choice,Sensory Systems,druid:kt124pw7658
https://openalex.org/W4304614191,W4304614191,beta-Lactamases evolve against antibiotics by acquiring large active-site electric fields,Molecular Medicine,druid:kt342kq6331
https://openalex.org/W4386128506,W4386128506,WAM-Studio: A Web-Based Digital Audio Workstation to Empower Cochlear Implant Users,Software,druid:kw111wz3043
https://openalex.org/W4232006839,W4232006839,Effectiveness of a theory-informed documentary to reduce consumption of meat and animal products: Three randomized controlled experiments,Applied Psychology,druid:kw171fq8315
https://openalex.org/W4396903879,W4396903879,Flexible Electrochemical Stripping for Wastewater Ammonia Recovery with Real-Time Product Tunability,Catalysis,druid:mx485ft8480
https://openalex.org/W4376255784,W4376255784,Disadvantaged Group Members are Prouder of Their Group When Using the Language of the Dominant Group Compared to Their Native Language,Language and Linguistics,druid:mx868dn9875
https://openalex.org/W3177095392,W3177095392,Shape Matters: Understanding the Implicit Bias of the Noise Covariance,Artificial Intelligence,druid:nc165yp8360
https://openalex.org/W3133101250,W3133101250,CO2 Electrocatalyst Design Using Graph Theory,"Renewable Energy, Sustainability and the Environment",druid:nm560sj3327
https://openalex.org/W4244886215,W4244886215,Association between Psychiatric Disorders and Glomerular Disease.,Speech and Hearing,druid:np373vx8662
https://openalex.org/W4229365847,W4229365847,Mechanism of the cadherin-catenin F-actin catch bond interaction,Cell Biology,druid:np727hc0446
https://openalex.org/W3147817170,W3147817170,International Trade and Earnings Inequality: A New Factor Content Approach,Strategy and Management,druid:nr032mr9571
https://openalex.org/W3045625995,W3045625995,The Rise (and Fall) of Elected Sheriffs,Political Science and International Relations,druid:ny096xg8412
https://openalex.org/W2890142544,W2890142544,KAT6A Syndrome: genotype–phenotype correlation in 76 patients with pathogenic KAT6A variants,Genetics,druid:pf494rb6827
https://openalex.org/W4366211166,W4366211166,Loss of Mitochondrial Enoyl CoA Reductase causes elevated ceramide levels and impairs iron metabolism,Clinical Biochemistry,druid:pg210nq1402
https://openalex.org/W2976790204,W2976790204,SHARP UPPER BOUNDS FOR FRACTIONAL MOMENTS OF THE RIEMANN ZETA FUNCTION,Algebra and Number Theory,druid:pg336cw7885
https://openalex.org/W2941345678,W2941345678,Current Challenges and Future Trends in Analytical Fragility and Vulnerability Modeling,Civil and Structural Engineering,druid:pg684bh6859
https://openalex.org/W4392650084,W4392650084,Theories derived from Haissinski equation and their applications to electron storage rings,Aerospace Engineering,druid:ph313zz5615
https://openalex.org/W4291821255,W4291821255,Looking into the past: Eye-tracking mental simulation in physical inference,Social Psychology,druid:pt236zn3456
https://openalex.org/W3028990183,W3028990183,Responding to COVID‐19 through Surveys of Public Servants,Public Administration,druid:pw298qp9279
https://openalex.org/W4280645526,W4280645526,Richer Countries and Richer Representations,Cultural Studies,druid:qb491ps3997
https://openalex.org/W4214943500,W4214943500,Patterns and Predictors of Functional Decline after Allogeneic Hematopoietic Cell Transplantation in Older Adults,Geriatrics and Gerontology,druid:qh192zp7366
https://openalex.org/W2914653242,W2914653242,Dynamic locomotion for passive-ankle biped robots and humanoids using whole-body locomotion control,Biomedical Engineering,druid:qj258wc5060
https://openalex.org/W4250899323,W4250899323,Upstream oil and gas production and ambient air pollution in California,Global and Planetary Change,druid:qj864kb6479
https://openalex.org/W3091005730,W3091005730,Peak grain forecasts for the US High Plains amid withering waters,Ocean Engineering,druid:qn624md3281
https://openalex.org/W3040284472,W3040284472,Intestinal adaptation following spring insertion into a roux limb in mice,Nutrition and Dietetics,druid:qs348mv7691
https://openalex.org/W2977841367,W2977841367,Workload-indexed blood pressure response is superior to peak systolic blood pressure in predicting all-cause mortality,Complementary and alternative medicine,druid:qs929mg6711
https://openalex.org/W4399800474,W4399800474,Loss of Schooling from Tropical Cyclones: Evidence from 13 Low- and Middle-income Countries,Soil Science,druid:qv558ft6688
https://openalex.org/W4385565029,W4385565029,Is ChatGPT a Good Teacher Coach? Measuring Zero-Shot Performance For Scoring and Providing Actionable Insights on Classroom Instruction,Computer Science Applications,druid:qw212cz6041
https://openalex.org/W2939088344,W2939088344,"Estimating the marginal propensity to consume using the distributions of income, consumption, and wealth",Accounting,druid:qy373yc8380
https://openalex.org/W3124742002,W3124742002,Design-based analysis in Difference-In-Differences settings with staggered adoption,Statistics and Probability,druid:rc235st5761
https://openalex.org/W3178821884,W3178821884,"The Galaxy Activity, Torus, and Outflow Survey (GATOS)",Astronomy and Astrophysics,druid:sd570xv3570
https://openalex.org/W3177985224,W3177985224,"Association of decreased sperm motility and increased seminal plasma IGF-I, IGF-II, IGFBP-2, and PSA levels in infertile men",Reproductive Medicine,druid:sj791wz3123
https://openalex.org/W3021395141,W3021395141,Emotional consequences of COVID-19 home confinement: The ECLB-COVID19 multicenter study,Clinical Psychology,druid:sq475wr5654
https://openalex.org/W4401176373,W4401176373,CacheGen: KV Cache Compression and Streaming for Fast Large Language Model Serving,Artificial Intelligence,druid:sv998xz8404
https://openalex.org/W3035272603,W3035272603,Learning Multiview 3D Point Cloud Registration,Geology,druid:sw902wx2411
https://openalex.org/W4385622138,W4385622138,Simulated musculoskeletal optimization for sprinting and marathon running,Orthopedics and Sports Medicine,druid:sz457xr1253
https://openalex.org/W4302282097,W4302282097,A reevaluation of the relationship between EGL-43 (EVI1/MECOM) and LIN-12 (Notch) during<i>C. elegans</i>anchor cell invasion,Aging,druid:tj190cc7867
https://openalex.org/W2982798447,W2982798447,Tensor methods for the Boltzmann-BGK equation,Computational Mathematics,druid:tp180tj4365
https://openalex.org/W2887090792,W2887090792,"Realizing the transformative potential of conservation through the social sciences, arts and humanities",Conservation,druid:ts170bm4901
https://openalex.org/W4247150207,W4247150207,Three-dimensional Non-destructive Visualization of Teeth Enamel Microcracks Using X-ray Micro-computed Tomography,Oral Surgery,druid:tx033hq3853
https://openalex.org/W3112265681,W3112265681,Real-world Evidence of Diagnostic Testing and Treatment Patterns in US Patients With Breast Cancer With Implications for Treatment Biomarkers From RNA Sequencing Data,Cancer Research,druid:vb749qk3646
https://openalex.org/W4286353196,W4286353196,Emotion Dysregulation and Heart Rate variability Improve in US Veterans Undergoing Treatment for Posttraumatic Stress Disorder: Secondary Exploratory Analyses from a Randomised Controlled Trial,Behavioral Neuroscience,druid:vd605mq3504
https://openalex.org/W3007313800,W3007313800,FDA and EMA clinical research guidelines: Assessment of trial design recommendations for pivotal psychiatric drug trials (Protocol),Statistics and Probability,druid:vv703fs0823
https://openalex.org/W4245851024,W4245851024,Interventions to reduce meat consumption by appealing to animal welfare: Meta-analysis and evidence-based recommendations,Small Animals,druid:vx966vb2602
https://openalex.org/W4401157222,W4401157222,Aging trajectories of memory CD8+ T cells differ by their antigen specificity,Immunology,druid:vy902bz5532
https://openalex.org/W3005397613,W3005397613,Size of bulk fermions in the SYK model,Nuclear and High Energy Physics,druid:wb233rd7257
https://openalex.org/W3116436840,W3116436840,Supersingular curves with small noninteger endomorphisms,Geometry and Topology,druid:wg278mx6077
https://openalex.org/W4297341531,W4297341531,Immunogenicity of Adjuvanted versus High-Dose Inactivated Influenza Vaccines in Older Adults: A Randomized Clinical Trial,Epidemiology,druid:wq745mn2633
https://openalex.org/W4226047880,W4226047880,Graph Neural Network Reinforcement Learning for Autonomous Mobility-on-Demand Systems,Automotive Engineering,druid:wy700jz1197
https://openalex.org/W3023172980,W3023172980,The Noise Collector for sparse recovery in high dimensions,Computational Mechanics,druid:wz424mn2608
https://openalex.org/W3174061332,W3174061332,Can Auxiliary Indicators Improve COVID-19 Forecasting and Hotspot Prediction?,Modeling and Simulation,druid:xb043gc4872
https://openalex.org/W3199353954,W3199353954,Supervising the Decoder of Variational Autoencoders to Improve Scientific Utility,Signal Processing,druid:xh427hy1998
https://openalex.org/W4383550744,W4383550744,The Biogenesis of Bacterial PHB Granules,Biotechnology,druid:xm178jz6024
https://openalex.org/W3205417062,W3205417062,The effects of ecological selection on species diversity and trait distribution: predictions and an empirical test,Nature and Landscape Conservation,druid:xn919my5309
https://openalex.org/W3025420576,W3025420576,PBBFMM3D: A parallel black-box algorithm for kernel matrix-vector multiplication,"Atomic and Molecular Physics, and Optics",druid:xs423ty1162
https://openalex.org/W3185060415,W3185060415,Mutations in coral soma and sperm imply lifelong stem cell renewal and cell lineage selection,Ecology,druid:yd110vg7725
https://openalex.org/W4313482304,W4313482304,Art Collectors as Venture Capitalists,Visual Arts and Performing Arts,druid:yg487ck7556
https://openalex.org/W2919371474,W2919371474,Job-Finding and Job-Losing: A Comprehensive Model of Heterogeneous Individual Labor-Market Dynamics,Economics and Econometrics,druid:yg846np7137
https://openalex.org/W4292847294,W4292847294,Worldwide Scaling of Waste Generation in Urban Systems,Transportation,druid:yt687fq1143
https://openalex.org/W3040914334,W3040914334,Experimental Design in Two-Sided Platforms: An Analysis of Bias,Marketing,druid:yw726th5999
https://openalex.org/W2942725897,W2942725897,Emotion Regulation in Achievement Situations: An Integrated Model,Education,druid:yx196vq5902
https://openalex.org/W3082965143,W3082965143,Stress-Induced Structural Transformations in Au Nanocrystals,Atmospheric Science,druid:yx681dd4483
https://openalex.org/W4386513944,W4386513944,"Recommendations for Quantitative Cerebral Perfusion MRI using Multi-Timepoint Arterial Spin Labeling: Acquisition, Quantification, and Clinical Applications","Radiology, Nuclear Medicine and Imaging",druid:zc558cm6201
https://openalex.org/W2963628635,W2963628635,Properly embedded minimal annuli in $$\mathbb {H}^2 \times \mathbb {R}$$,Applied Mathematics,druid:zd039fx2964
https://openalex.org/W3087573264,W3087573264,Integrating Old and New Paradigms of G1/S Control,Oncology,druid:zv617qm5276
https://openalex.org/W4281556450,W4281556450,Disentangling the chemistry of Australian plant exudates from a unique historical collection,Archeology,druid:zz037jv3101
https://openalex.org/W4285702111,W4285702111,Data-Driven Building Layout Optimization for Energy Efficiency,Building and Construction,druid:zz376qy8109
